voting_ID,MP_ID,voting,faction_id
1417090270,1,За,4
1417090270,2,За,4
1417090270,4,За,4
1417090270,18549,За,4
1417090270,26325,За,4
1417090270,21421,За,4
1417090270,7,За,4
1417090270,26315,За,4
1417090270,22417,За,4
1417090270,21635,За,4
1417090270,24620,За,4
1417090270,22542,За,4
1417090270,11,За,4
1417090270,25921,За,4
1417090270,18472,За,4
1417090270,23016,За,4
1417090270,26326,За,4
1417090270,17,За,4
1417090270,19,За,4
1417090270,19738,За,4
1417090270,18,За,4
1417090270,20,За,4
1417090270,21,За,4
1417090270,23868,За,4
1417090270,20495,За,4
1417090270,22,За,4
1417090270,23,За,4
1417090270,24417,Не голосував,4
1417090270,25028,За,4
1417090270,26,За,4
1417090270,25941,За,4
1417090270,27,За,4
1417090270,24490,За,4
1417090270,29,За,4
1417090270,30,За,4
1417090270,35,За,4
1417090270,26302,За,4
1417090270,37,За,4
1417090270,18544,За,4
1417090270,24861,За,4
1417090270,40,За,4
1417090270,23233,За,4
1417090270,24614,За,4
1417090270,19690,За,4
1417090270,49,За,4
1417090270,50,За,4
1417090270,51,Не голосував,4
1417090270,23820,За,4
1417090270,23335,За,4
1417090270,22618,За,4
1417090270,25036,За,4
1417090270,60,За,4
1417090270,25034,За,4
1417090270,25922,За,4
1417090270,25035,За,4
1417090270,24862,Відсутній,4
1417090270,21135,За,4
1417090270,24616,За,4
1417090270,18440,За,4
1417090270,21281,За,4
1417090270,64,За,4
1417090270,25037,За,4
1417090270,25935,За,4
1417090270,67,За,4
1417090270,24617,За,4
1417090270,22824,За,4
1417090270,24618,За,4
1417090270,22012,Відсутній,4
1417090270,23161,За,4
1417090270,26324,За,4
1417090270,19537,За,4
1417090270,25030,За,4
1417090270,71,За,4
1417090270,72,За,4
1417090270,75,Не голосував,4
1417090270,77,За,4
1417090270,81,За,4
1417090270,24213,За,4
1417090270,23449,За,4
1417090270,20598,За,4
1417090270,25914,Не голосувала,4
1417090270,18540,За,4
1417090270,22474,За,4
1417090270,18363,За,4
