voting_ID,faction_ID,for,against,abstain,did_not_vote,absent
1417090270,4,370,0,2,32,14
1417090482,4,343,0,1,59,15
1417092081,4,393,0,0,21,4
1417096360,1,140,0,0,4,2
1417096360,2,78,0,1,4,0
1417096360,3,23,0,0,13,4
1417096360,4,32,0,0,4,1
1417096360,5,28,0,0,3,1
1417096360,6,20,0,0,2,0
1417096360,7,20,0,0,0,0
1417096360,8,17,0,0,1,1
1417096360,9,12,0,0,7,0
1417096933,1,142,0,0,3,1
1417096933,2,83,0,0,0,0
1417096933,3,1,0,0,32,7
1417096933,4,26,0,3,7,1
1417096933,5,32,0,0,0,0
1417096933,6,19,0,0,3,0
1417096933,7,20,0,0,0,0
1417096933,8,18,0,0,0,1
1417096933,9,18,0,0,1,0
1417100374,1,139,2,2,1,1
1417100374,2,83,0,0,0,0
1417100374,3,1,0,0,28,11
1417100374,4,12,0,4,9,13
1417100374,5,32,0,0,0,0
1417100374,6,21,0,1,0,0
1417100374,7,19,0,0,0,1
1417100374,8,18,0,0,0,1
1417100374,9,16,0,0,2,1
1417100590,1,136,0,1,7,1
1417100590,2,82,0,0,0,1
1417100590,3,19,1,0,7,13
1417100590,4,23,0,0,0,15
1417100590,5,31,0,0,1,0
1417100590,6,22,0,0,0,0
1417100590,7,18,0,0,1,1
1417100590,8,18,0,0,0,1
1417100590,9,17,0,0,1,1
1417523777,1,123,0,0,16,6
1417523777,2,81,0,0,0,2
1417523777,3,0,1,0,27,12
1417523777,4,26,0,0,3,11
1417523777,5,30,0,0,1,1
1417523777,6,22,0,0,0,0
1417523777,7,8,0,0,4,8
1417523777,8,18,0,0,0,1
1417523777,9,2,0,0,15,2
1417536570,1,0,0,0,139,6
1417536570,2,0,0,0,77,6
1417536570,3,0,0,0,28,12
1417536570,4,0,0,0,29,11
1417536570,5,0,0,0,2,30
1417536570,6,0,0,0,21,1
1417536570,7,0,0,0,16,4
1417536570,8,0,0,0,18,1
1417536570,9,0,0,0,13,6
1417543122,1,143,0,0,1,3
1417543122,2,82,0,0,0,1
1417543122,3,0,0,0,28,12
1417543122,4,21,0,0,1,16
1417543122,5,32,0,0,0,0
1417543122,6,22,0,0,0,0
1417543122,7,17,0,0,0,3
1417543122,8,18,0,0,0,1
1417543122,9,16,0,0,2,1
1417543723,1,143,0,0,2,2
1417543723,2,82,0,0,0,1
1417543723,3,0,0,0,25,15
1417543723,4,17,0,0,4,17
1417543723,5,32,0,0,0,0
1417543723,6,22,0,0,0,0
1417543723,7,17,0,0,0,3
1417543723,8,18,0,0,0,1
1417543723,9,16,0,0,2,1
1417544566,1,125,0,5,15,2
1417544566,2,69,0,0,12,2
1417544566,3,0,2,0,28,10
1417544566,4,5,6,1,13,13
1417544566,5,0,6,0,26,0
1417544566,6,15,0,1,6,0
1417544566,7,1,0,0,14,5
1417544566,8,14,0,1,3,1
1417544566,9,0,2,1,12,4
1417549859,1,123,8,1,11,4
1417549859,2,73,0,0,9,1
1417549859,3,0,0,0,2,38
1417549859,4,4,14,1,2,17
1417549859,5,2,20,0,10,0
1417549859,6,21,0,0,0,1
1417549859,7,0,1,0,11,8
1417549859,8,0,1,0,16,2
1417549859,9,0,4,0,11,4
1417550691,1,136,1,6,1,3
1417550691,2,80,0,0,2,1
