voting_ID	date	time	title
1417714982	 04.12.2014	17:43:02	Поіменне голосування  про проект Постанови про обрання голів, перших заступників, заступників голів, секретарів, членів комітетів Верховної Ради України восьмого скликання (№1009) - за основу та в цілому
1418121895	 09.12.2014	10:44:55	"Поіменне голосування  про включення до порядку денного сесії проекту Постанови про внесення змін до Постанови Верховної Ради України ""Про обрання голів, перших заступників, заступників голів, секретарів, членів комітетів Верховної Ради України восьмого скликання"" (№1291) "
1418122235	 09.12.2014	10:50:35	Поіменне голосування  про проект Постанови про календарний план проведення першої сесії Верховної Ради України восьмого скликання (№1010) - за основу та в цілому
1418123055	 09.12.2014	11:04:15	Поіменне голосування  про включення до порядку денного на поточний пленарний тиждень проекту Постанови про Звернення Верховної Ради України до Державної Думи Федеральних Зборів Російської Федерації та Президента Російської Федерації щодо звільнення української льотчиці та народного депутата України VIII скликання Надії Вікторівни Савченко (№1095) 
1418123091	 09.12.2014	11:04:51	Поіменне голосування  про включення до порядку денного на поточний пленарний тиждень проектів законів про внесення змін до деяких законів України (щодо забезпечення і гарантування національної безпеки України) (№1014, №1014-1, №1014-2) 
1418293228	 11.12.2014	10:20:28	Поіменне голосування  про проект Постанови про порядок денний першої сесії Верховної Ради України восьмого скликання (№1375) - за основу та в цілому
1418293320	 11.12.2014	10:22:00	Поіменне голосування  про регламент розгляду питання про Програму діяльності Кабінету Міністрів України
1418304198	 11.12.2014	13:23:18	Поіменне голосування  про проект Постанови про Програму діяльності Кабінету Міністрів України (№1330)  - в цілому
1418304320	 11.12.2014	13:25:20	Поіменне голосування  про продовження ранкового пленарного засідання до завершення розгляду питань порядку денного
1418304356	 11.12.2014	13:25:56	Поіменне голосування  про розгляд за скороченою процедурою питань порядку денного
1418305638	 11.12.2014	13:47:18	"Поіменне голосування  про проект Закону про внесення змін до Закону України ""Про Раду національної безпеки і оборони України"" щодо вдосконалення координації і контролю у сфері національної безпеки і оборони (№1343) - за основу"
1418305682	 11.12.2014	13:48:02	"Поіменне голосування  про скорочення терміну підготовки до другого читання проекту Закону про внесення змін до Закону України ""Про Раду національної безпеки і оборони України"" щодо вдосконалення координації і контролю у сфері національної безпеки і оборони (№1343) "
1418307604	 11.12.2014	14:20:04	"Поіменне голосування  про проект Постанови про внесення змін до Постанови Верховної Ради України ""Про обрання голів, перших заступників, заступників голів, секретарів, членів комітетів Верховної Ради України восьмого скликання"" (№1291) - за основу та в цілому"
1418308241	 11.12.2014	14:30:41	"Поіменне голосування  про проект Постанови про внесення змін до Постанови Верховної Ради України ""Про обрання голів, перших заступників, заступників голів, секретарів, членів комітетів Верховної Ради України восьмого скликання та обрання голови Спеціальної контрольної комісії Верховної Ради України з питань приватизації"" (№1315) - за основу та в цілому"
1418308781	 11.12.2014	14:39:41	Поіменне голосування  про проект Постанови про Звернення Верховної Ради України до Державної Думи Федеральних Зборів Російської Федерації та Президента Російської Федерації щодо звільнення української льотчиці та народного депутата України VIII скликання Надії Вікторівни Савченко (№1095) - за основу та в цілому
1418309656	 11.12.2014	14:54:16	Поіменне голосування  про проект Постанови про зміни в адміністративно-територіальному устрої Донецької області, зміну і встановлення меж Артемівського району Донецької області (№1282) - за основу та в цілому
